Sun,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
0.000194,-0.044674,0.041588,0.000209,-0.012309,-0.065781,-0.326631,-0.091324,-0.665407,-1.932106
-0.006345,-0.412589,-0.030470,0.965286,0.641410,1.705207,9.367824,11.401482,29.866190,17.990248
-0.004523,-0.050582,-0.730301,0.227586,1.354788,4.745598,-2.268551,15.892573,-0.936706,-30.072214
0.000189,0.033687,-0.008387,0.000155,0.012786,-0.057837,-0.334136,-0.088610,-0.669077,-1.981668
-0.005970,0.322310,0.716741,0.359050,-0.074171,1.305716,9.417927,11.224072,29.869879,18.142838
-0.004762,0.054385,-0.069006,0.911371,1.567853,4.888966,-1.970721,16.007133,-0.763781,-30.021149
0.000183,-0.025094,-0.042400,0.000128,0.034810,-0.049493,-0.341308,-0.085885,-0.672724,-2.031190
-0.005580,-0.157102,0.086428,-0.556255,-0.777728,0.897264,9.458654,11.045321,29.872574,18.295052
-0.004968,-0.445390,0.708906,0.810272,1.428377,4.998908,-1.670932,16.119789,-0.590831,-29.969469
0.000177,-0.021917,0.004672,0.000148,0.049149,-0.040810,-0.348142,-0.083150,-0.676349,-2.080669
-0.005182,-0.260713,-0.715099,-0.999022,-1.326196,0.482707,9.489912,10.865253,29.874271,18.446890
-0.005136,0.225267,0.098561,0.006548,0.997066,5.075037,-1.369473,16.230520,-0.417861,-29.917171
0.000170,0.042437,0.042556,0.000192,0.053567,-0.031850,-0.354627,-0.080404,-0.679952,-2.130107
-0.004784,0.289671,-0.133573,-0.608559,-1.620921,0.064887,9.511625,10.683888,29.874973,18.598360
-0.005272,-0.268427,-0.719430,-0.812115,0.372482,5.117218,-1.066639,16.339317,-0.244877,-29.864265
0.000163,-0.048350,-0.002217,0.000220,0.047711,-0.022675,-0.360755,-0.077650,-0.683532,-2.179499
-0.004385,-0.356505,0.701793,0.273593,-1.605371,-0.353397,9.523717,10.501245,29.874680,18.749441
-0.005381,-0.288914,-0.173748,-0.980507,-0.324036,5.125549,-0.762729,16.446157,-0.071885,-29.810755
0.000156,0.009282,-0.042904,0.000202,0.032738,-0.013350,-0.366519,-0.074886,-0.687089,-2.228849
-0.003981,0.093253,0.192196,0.934472,-1.267416,-0.769405,9.526127,10.317343,29.873388,18.900148
-0.005461,0.286191,0.687698,-0.372660,-0.954530,5.100368,-0.458046,16.551027,0.101110,-29.756641
